21 Ian. 2026	0.2481	+0.0017	0.69 %
20 Ian. 2026	0.2464	-0.0019	-0.77 %
19 Ian. 2026	0.2483	+0.0001	0.04 %
16 Ian. 2026	0.2482	+0.0024	0.98 %
15 Ian. 2026	0.2458	+0.0009	0.37 %
14 Ian. 2026	0.2449	+0.0013	0.53 %
13 Ian. 2026	0.2436	+0.0003	0.12 %
12 Ian. 2026	0.2433	+0.0007	0.29 %
9 Ian. 2026	0.2426	+0.0001	0.04 %
8 Ian. 2026	0.2425	+0.0005	0.21 %
5 Ian. 2026	0.2420	+0.0003	0.12 %
31 Dec. 2025	0.2417	+0.0007	0.29 %
30 Dec. 2025	0.2410	-0.0006	-0.25 %
29 Dec. 2025	0.2416	+0.0003	0.12 %
24 Dec. 2025	0.2413	+0.0009	0.37 %
23 Dec. 2025	0.2404	-0.0006	-0.25 %
22 Dec. 2025	0.2410	-0.0001	-0.04 %
19 Dec. 2025	0.2411	0	0 %
18 Dec. 2025	0.2411	-0.0008	-0.33 %
17 Dec. 2025	0.2419	+0.0007	0.29 %
16 Dec. 2025	0.2412	+0.0001	0.04 %
15 Dec. 2025	0.2411	+0.0004	0.17 %
12 Dec. 2025	0.2407	+0.0016	0.67 %
11 Dec. 2025	0.2391	-0.0013	-0.54 %
10 Dec. 2025	0.2404	+0.0011	0.46 %
9 Dec. 2025	0.2393	-0.0008	-0.33 %
8 Dec. 2025	0.2401	+0.0001	0.04 %
5 Dec. 2025	0.2400	+0.0010	0.42 %
4 Dec. 2025	0.2390	-0.0001	-0.04 %
3 Dec. 2025	0.2391	-0.0003	-0.13 %
2 Dec. 2025	0.2394	-0.0007	-0.29 %
28 Nov. 2025	0.2401	+0.0005	0.21 %
27 Nov. 2025	0.2396	+0.0005	0.21 %
26 Nov. 2025	0.2391	+0.0002	0.08 %
25 Nov. 2025	0.2389	+0.0002	0.08 %
24 Nov. 2025	0.2387	-0.0008	-0.33 %
21 Nov. 2025	0.2395	-0.0012	-0.5 %
20 Nov. 2025	0.2407	+0.0007	0.29 %
19 Nov. 2025	0.2400	+0.0020	0.84 %
18 Nov. 2025	0.2380	-0.0013	-0.54 %
17 Nov. 2025	0.2393	+0.0008	0.34 %
14 Nov. 2025	0.2385	-0.0013	-0.54 %
13 Nov. 2025	0.2398	-0.0004	-0.17 %
12 Nov. 2025	0.2402	+0.0011	0.46 %
11 Nov. 2025	0.2391	-0.0002	-0.08 %
10 Nov. 2025	0.2393	+0.0015	0.63 %
7 Nov. 2025	0.2378	+0.0002	0.08 %
6 Nov. 2025	0.2376	+0.0003	0.13 %
5 Nov. 2025	0.2373	-0.0002	-0.08 %
